Category Name,Category Description
English,Content generated in the English language.
Spanish,Content generated in the Spanish language.
French,Content generated in the French language.
German,Content generated in the German language.
Chinese,Content generated in the Chinese language.
Japanese,Content generated in the Japanese language.
Arabic,Content generated in the Arabic language.
Hindi,Content generated in the Hindi language.
Portuguese,Content generated in the Portuguese language.
Russian,Content generated in the Russian language.
